1	1193,3408,2355,1197,2804,919,595,2918,2791,2797,2321,1270,527,1097,1721,588,2762,150,1,1961,2692,260,1028,2028,3114,608
2	2194,648,2268,2628,2916,1210,1213,3578,1610,1259,3147,1544,3255,3256,110,3471,589,2858,1225,2028,480,1265,1370,1193,1372,590,1196,736,1198,593,2571,1917,2396,1954,21,2321,1090,380,349,457,920,1527,3418,780,1784,318,1968,356,1247
3	3421,1641,648,1394,1210,1079,2997,1291,1259,1580,260,2858,3114,480,1265,733,1196,590,2355,1197,1198,593,1304,1270,2617,1961,3671,2115,1968,1136,2081
4	1210,1214,1036,260,2028,480,1196,1198,1954,1097,3418,3702,1387,3527,2692,1240
5	2987,39,2268,2916,3578,3793,1610,2997,47,2700,296,1617,150,2858,50,733,3081,377,2355,593,2716,2571,1127,1704,2291,1923,318,608,3176,1213,2599,1500,2959,1721,908,1580,1653,2890,2028,1517,1089,913,3408,1732,919,2395,2683,1527,3418,2762,2692,32,34,356,357
6	2406,1101,3578,364,296,588,1,2858,377,590,595,597,2081,1210,3753,912,3408,2396,2100,2321,920,1674,1028,34
7	648,2916,3578,3793,1610,589,733,377,1196,2571,380,1270,457,1573,3753,3256,1580,110,1221,2028,480,349,3418
8	39,2268,1393,1682,2916,296,3147,589,150,1,2858,1265,733,377,2571,527,1704,2291,608,1573,1210,1213,1721,3256,908,1653,1580,110,111,2028,480,3481,2396,2324,349,3418,1673,2692,2699
9	2268,1393,1682,3793,367,47,3147,1617,223,150,1,2858,50,1265,377,590,2355,593,2571,597,527,3160,457,1704,1923,1784,318,608,1356,1358,3751,1210,1213,3755,2599,2302,1500,2959,1721,3253,3255,1653,1584,1221,2890,2028,3114,480,1089,912,3408,3623,1233,1307,2324,349,920,2762,1961,2692
10	648,2628,1682,2054,1252,2997,1259,587,588,589,223,150,1,1265,1196,590,1197,1198,2640,592,2716,595,2571,597,1270,1278,1923,2657,1784,316,318,2081,1356,750,2804,2599,2302,1291,904,1294,3471,260,3114,1517,2174,1372,912,913,1374,1376,1377,919,3481,1954,2321,2324,920,923,924,3702,780,3703,1387,858,2762,1961,1028,32,356,357,2407,1394,1101,2918,364,367,1544,1617,2858,2355,2791,1127,2797,527,1704,2291,2000,2001,1200,3671,969,1136,3175,1573,2011,3751,1210,2012,1214,1073,2959,541,1079,1721,3255,110,1580,1653,2529,1584,1220,1221,1225,2968,480,3408,2396,2100,1230,1304,1233,1234,1307,1097,2617,1676,2115,1240,1247
11	1682,2997,1259,2706,587,1265,2710,590,1197,1198,593,597,3448,1278,1923,1784,318,1358,1288,2804,2302,2174,2683,2321,2762,356,357,1394,2918,47,2858,50,2355,2791,3160,1704,1136,608,3176,1573,1213,3755,2959,3255,110,480,1089,1732,2396,1307,3418,1673
12	1252,1193,1198,593,2804,919,923,858,1641,111,1221,1233,1247
13	2987,648,2628,2054,1259,589,1196,590,1197,736,1198,2640,592,593,2571,316,318,1356,1291,260,1370,1372,1374,1376,1377,919,21,349,1527,780,1393,2916,1610,296,1544,50,1127,380,527,457,3175,1210,1073,3256,1580,110,2028,2968,480,1233,1097,3418,2617,2115
14	2997,3623,2762,2692,1968,3578,296,2858,3081,608,2959,1225,2396
15	3421,648,2997,2706,587,1265,1193,733,1196,1198,2640,593,2571,1923,1784,318,2302,1500,1291,260,1370,3623,2683,2321,1527,780,2762,2763,1968,32,356,357,1608,2268,1396,2916,3578,364,1610,367,47,296,3147,1617,2858,50,3081,380,527,3160,457,1704,2000,2001,3176,1210,3753,1213,3755,2959,3256,1580,110,2028,480,3408,1732,2396,3418,2617,1673,2115
16	2987,1682,2683,2699,2355,3175
17	3793,589,223,1265,1193,1196,590,2640,593,595,2571,1270,3527,1923,2657,316,318,1356,750,1358,2599,3471,260,3114,1370,913,1374,1376,2321,1527,924,3702,780,3703,2762,32,356,34,2407,2268,1396,2916,3578,1610,296,3147,1617,2858,50,2355,1127,527,457,1704,1200,1206,3175,1573,2011,3751,1210,1213,3755,1214,541,3256,2455,1653,1580,110,2529,1584,2028,480,2396,1097,3418,1240,2985
18	2987,648,2628,1682,3793,2054,1259,588,589,1,1193,1196,590,1197,736,1198,592,595,3448,3527,1784,2081,1500,1291,260,1377,3623,919,1954,920,1527,780,3703,1387,2763,1028,1968,34,1391,2194,2268,1396,2916,1036,3578,364,367,47,296,1617,1544,2858,50,377,2355,2797,380,527,2291,2000,2001,1200,969,3175,3751,1210,3753,1073,2959,1721,3255,1580,110,2028,1089,1732,2100,1234,1094,1097,3418,2617,1676,2115,1240,1242
19	2987,3421,648,2628,1682,3793,1258,2700,1259,588,589,223,1,1265,1193,733,2710,1196,1197,1198,2640,592,593,2716,595,2571,1270,1278,3527,318,2081,1356,2599,1291,3471,260,3114,1370,1372,1374,1376,3623,919,2683,2321,2324,1527,1387,858,2762,1961,2692,2699,32,356,34,1608,2918,1036,364,1610,47,2858,3081,377,2355,1127,380,527,457,2000,2001,1200,1206,3175,3176,1573,1210,1214,1219,1073,2959,2455,1580,110,2529,111,1584,1220,2028,480,1307,1234,1090,1097,2115,1240
20	648,589,2571,3527,1923,1527,3578,47,1617,2858,457,3753,110,2028,1240
21	2987,2700,588,1,2355,1210
22	2987,648,2628,2054,2997,1259,587,589,223,1265,733,1196,1197,736,1198,592,2716,2571,1917,1270,1278,3527,1923,316,318,2081,1358,1288,2302,1291,908,1370,1517,2174,1377,919,2321,2324,1527,780,858,2762,2763,2699,32,2406,39,1608,1391,1394,2916,2918,1036,3578,47,296,1544,2858,377,2791,1127,2797,380,3160,457,2291,1200,1136,608,3176,1573,2011,2012,1210,3753,1214,1073,3253,3255,1653,1580,110,111,1584,1222,1225,480,1089,1732,2395,2396,2100,1097,2617,1673,1676,1240,2985,1247
23	648,2628,3793,2054,1252,2997,1258,589,1,1265,1196,2640,592,593,595,2571,3527,2657,1784,316,1356,750,2599,1500,904,908,3471,260,11,1517,2174,1372,1376,21,1527,924,3702,780,3703,858,2762,2692,2699,32,34,357,2407,39,2268,1396,2916,1036,3578,1610,367,47,296,3147,1617,1544,2858,50,377,2355,1127,2797,457,2000,1200,1206,608,3175,1573,2011,3751,2012,1213,1214,1219,1073,541,3253,3256,2455,1653,1580,2529,111,1584,1221,1222,2968,480,1089,2395,2396,2100,1234,1090,1097,2617,1674,1676,1240,2985
24	2987,648,2628,1259,3361,1265,1193,590,1197,1198,2640,592,593,2716,597,3448,1270,2657,1784,318,2081,1358,1288,1291,3471,260,2174,912,1377,919,2683,920,858,2692,1968,2406,2407,1394,2918,364,296,2858,50,3081,2791,2797,380,527,3160,1704,2001,608,3175,1213,1073,1079,1721,1580,110,1584,1220,1221,1225,2028,2396,2100,1230,1307,1090,1094,1674,1247
25	2987,2628,3793,2700,588,223,150,1196,1198,2716,2571,1917,1270,1356,2804,1291,260,3114,1372,1374,1376,3623,2683,2324,780,1387,2692,1391,3578,1610,1544,2355,1704,3175,1573,2011,3751,2012,1210,3753,1653,1580,110,2028,480,1676
